broken_url,category,suggested_redirect,note
https://www.texasspecialed.com/resources/iep-letter/index.html,resource page,https://www.texasspecialed.com/resources/,check resources index
https://www.texasspecialed.com/districts/conroe-isd/es/index.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/conroe-isd/index.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/plano-isd/grievance-dispute-resolution-plano-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/plano-isd/how-to-request-evaluation.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/plano-isd/evaluation-child-find-plano-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/plano-isd/ard-process-guide-plano-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/dallas-isd/grievance-dispute-resolution-dallas-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/dallas-isd/how-to-request-evaluation.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/dallas-isd/evaluation-child-find-dallas-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/dallas-isd/ard-process-guide-dallas-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/blog/es/what-is-fie.html,blog ES,https://www.texasspecialed.com/es/what-is-fie.html,try top-level /es/ equivalent
https://www.texasspecialed.com/es/carta-evaluacion-educacion-especial-texas,top-level ES,,no automatic redirect found — manual review needed
https://www.texasspecialed.com/blog/es/what-to-do-when-school-denies-evaluation.html,blog ES,https://www.texasspecialed.com/es/what-to-do-when-school-denies-evaluation.html,try top-level /es/ equivalent
https://www.texasspecialed.com/blog/es/how-to-request-evaluation.html,blog ES,https://www.texasspecialed.com/es/how-to-request-evaluation.html,try top-level /es/ equivalent
https://www.texasspecialed.com/files/texas-behavior-defense-toolkit-with-email.zip,file/download,,manual check — file may have moved or been removed
https://www.texasspecialed.com/files/ard-prep-toolkit-texas.pdf,file/download,,manual check — file may have moved or been removed
https://www.texasspecialed.com/blog/download/ard-prep-3n8w.html,blog EN,,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/plano-isd/es/quejas-y-disputas-educacion-especial.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/plano-isd/quejas-y-disputas-educacion-especial.html,canonicalise to /es-districts/
https://www.texasspecialed.com/es-districts/plano-isd/quejas-y-disputas-educacion-especial.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/plano-isd/es/quejas-y-disputas-educacion-especial.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/plano-isd/como-solicitar-una-evaluacion-fie-plano-isd.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/plano-isd/es/como-solicitar-una-evaluacion-fie-plano-isd.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/plano-isd/evaluacion-educacion-especial-child-find.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/plano-isd/es/evaluacion-educacion-especial-child-find.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/plano-isd/proceso-ard-guia-para-padres.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/plano-isd/es/proceso-ard-guia-para-padres.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/plano-isd/index.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/plano-isd/es/index.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/districts/plano-isd/es/evaluacion-educacion-especial-child-find.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/plano-isd/evaluacion-educacion-especial-child-find.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/plano-isd/es/proceso-ard-guia-para-padres.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/plano-isd/proceso-ard-guia-para-padres.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/frisco-isd/es/index.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/frisco-isd/index.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/houston-isd/grievance-dispute-resolution-houston-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/houston-isd/how-to-request-evaluation.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/houston-isd/evaluation-child-find-houston-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/houston-isd/ard-process-guide-houston-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/houston-isd/es/quejas-y-disputas-educacion-especial.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/houston-isd/quejas-y-disputas-educacion-especial.html,canonicalise to /es-districts/
https://www.texasspecialed.com/es-districts/houston-isd/quejas-y-disputas-educacion-especial.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/houston-isd/es/quejas-y-disputas-educacion-especial.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/houston-isd/como-solicitar-una-evaluacion-fie-houston-isd.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/houston-isd/es/como-solicitar-una-evaluacion-fie-houston-isd.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/houston-isd/evaluacion-educacion-especial-child-find.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/houston-isd/es/evaluacion-educacion-especial-child-find.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/houston-isd/proceso-ard-guia-para-padres.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/houston-isd/es/proceso-ard-guia-para-padres.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/houston-isd/index.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/houston-isd/es/index.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/districts/houston-isd/es/evaluacion-educacion-especial-child-find.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/houston-isd/evaluacion-educacion-especial-child-find.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/houston-isd/es/proceso-ard-guia-para-padres.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/houston-isd/proceso-ard-guia-para-padres.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/zapata-county-isd/es/como-solicitar-una-evaluacion-fie-zapata-county-isd.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/zapata-county-isd/como-solicitar-una-evaluacion-fie-zapata-county-isd.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/willis-isd/es/como-solicitar-una-evaluacion-fie-willis-isd.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/willis-isd/como-solicitar-una-evaluacion-fie-willis-isd.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/whitehouse-isd/es/como-solicitar-una-evaluacion-fie-whitehouse-isd.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/whitehouse-isd/como-solicitar-una-evaluacion-fie-whitehouse-isd.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/white-settlement-isd/es/como-solicitar-una-evaluacion-fie-white-settlement-isd.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/white-settlement-isd/como-solicitar-una-evaluacion-fie-white-settlement-isd.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/weslaco-isd/grievance-dispute-resolution-weslaco-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/weslaco-isd/how-to-request-evaluation.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/weslaco-isd/evaluation-child-find-weslaco-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/weslaco-isd/ard-process-guide-weslaco-isd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/weslaco-isd/es/quejas-y-disputas-educacion-especial.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/weslaco-isd/quejas-y-disputas-educacion-especial.html,canonicalise to /es-districts/
https://www.texasspecialed.com/es-districts/weslaco-isd/quejas-y-disputas-educacion-especial.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/weslaco-isd/es/quejas-y-disputas-educacion-especial.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/weslaco-isd/como-solicitar-una-evaluacion-fie-waco-isd.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/weslaco-isd/es/como-solicitar-una-evaluacion-fie-waco-isd.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/weslaco-isd/evaluacion-educacion-especial-child-find.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/weslaco-isd/es/evaluacion-educacion-especial-child-find.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/weslaco-isd/proceso-ard-guia-para-padres.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/weslaco-isd/es/proceso-ard-guia-para-padres.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/es-districts/weslaco-isd/index.html,es-districts (duplicate candidate),https://www.texasspecialed.com/districts/weslaco-isd/es/index.html,canonicalise to /districts/{isd}/es/
https://www.texasspecialed.com/districts/weslaco-isd/es/evaluacion-educacion-especial-child-find.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/weslaco-isd/evaluacion-educacion-especial-child-find.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/weslaco-isd/es/proceso-ard-guia-para-padres.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/weslaco-isd/proceso-ard-guia-para-padres.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/weatherford-isd/es/como-solicitar-una-evaluacion-fie-weatherford-isd.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/weatherford-isd/como-solicitar-una-evaluacion-fie-weatherford-isd.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/waxahachie-isd/es/como-solicitar-una-evaluacion-fie-waxahachie-isd.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/waxahachie-isd/como-solicitar-una-evaluacion-fie-waxahachie-isd.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/vidor-isd/es/como-solicitar-una-evaluacion-fie-vidor-isd.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/vidor-isd/como-solicitar-una-evaluacion-fie-vidor-isd.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/valley-view-isd/es/como-solicitar-una-evaluacion-fie-valley-view-isd.html,districts/{isd}/es/ (duplicate candidate),https://www.texasspecialed.com/es-districts/valley-view-isd/como-solicitar-una-evaluacion-fie-valley-view-isd.html,canonicalise to /es-districts/
https://www.texasspecialed.com/districts/uvalde-cisd/grievance-dispute-resolution-uvalde-cisd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/uvalde-cisd/how-to-request-evaluation.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/uvalde-cisd/what-is-an-fie-uvalde-cisd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/uvalde-cisd/evaluation-child-find-uvalde-cisd.html,district page (EN),,no automatic redirect found — manual review needed
https://www.texasspecialed.com/districts/uvalde-cisd/ard-process-guide-uvalde-cisd.html,district page (EN),,no automatic redirect found — manual review needed
