slug,name,county,city,enrollment,campuses,region,sped_contact_email,unique_context,existing_pages
frisco-isd,Frisco ISD,"Collin and Denton Counties",Frisco,66000+,75+,DFW Metroplex,specialeducation@friscoisd.com,"Frisco ISD has seen rapid growth that has outpaced its special education staffing pipeline, leading to heavy reliance on contracted service providers for speech therapy and OT. The district's affluent demographics create subtle pressure to maintain high academic ratings, which can discourage referrals to special education in favor of 504 plans or RTI loops.",ard-process-guide|evaluation-child-find|dyslexia-services|grievance-dispute-resolution
katy-isd,Katy ISD,"Harris, Fort Bend, and Waller Counties",Katy,90000+,90+,Houston Metro,specialeducation@katyisd.org,"Katy ISD is one of the largest suburban districts in Texas, serving a highly diverse student population with significant ELL overlap with special education eligibility. The district operates multiple specialized campuses, but wait times for diagnostician evaluations have been a reported parent concern.",ard-process-guide|evaluation-child-find|dyslexia-services|grievance-dispute-resolution|leadership-directory
garland-isd,Garland ISD,Dallas County,Garland,54000+,70+,DFW Metroplex,specialeducation@garlandisd.net,"Garland ISD serves one of the most economically and linguistically diverse student populations in the Dallas area. The district has a higher-than-average percentage of students qualifying under the Other Health Impairment (OHI) category, and parents report challenges navigating bilingual special education processes.",evaluation-child-find|dyslexia-services
allen-isd,Allen ISD,Collin County,Allen,22000+,25+,DFW Metroplex,specialeducation@allenisd.org,"Allen ISD is a mid-sized high-performing district where academic pressure and community expectations around college readiness can create friction for families seeking special education services. The district shares TEA ESC Region 10 with Frisco and McKinney ISDs.",ard-process-guide|evaluation-child-find
mckinney-isd,McKinney ISD,Collin County,McKinney,25000+,30+,DFW Metroplex,specialeducation@mckinneyisd.net,"McKinney ISD has grown quickly alongside Collin County's residential expansion. The district recently reorganized its special education department, and parents report inconsistent communication between campus-level ARD facilitators and central office representatives.",grievance-dispute-resolution
plano-isd,Plano ISD,Collin County,Plano,49000+,72+,DFW Metroplex,specialeducation@pisd.edu,"Plano ISD is one of the oldest established suburban districts in Collin County with a mature special education infrastructure but persistent parent reports of slow evaluation timelines and resistance to autism spectrum eligibility.",ard-process-guide|evaluation-child-find
houston-isd,Houston ISD,"Harris County",Houston,194000+,280+,Houston Metro,specialeducation@houstonisd.org,"Houston ISD is the largest district in Texas and recently underwent a state conservatorship, which has created significant instability in special education staffing and program continuity. Parent advocates report widespread evaluation delays and IEP implementation failures during the transition.",ard-process-guide|evaluation-child-find|dyslexia-services|grievance-dispute-resolution
cypress-fairbanks-isd,Cypress-Fairbanks ISD,"Harris County",Cypress,120000+,92+,Houston Metro,specialeducation@cfisd.net,"Cy-Fair ISD is the third-largest district in Texas and operates a complex special education system across a geographically large service area. Parents report variability in ARD quality between campuses, with some schools significantly more responsive than others.",ard-process-guide|evaluation-child-find|dyslexia-services
round-rock-isd,Round Rock ISD,"Williamson County",Round Rock,50000+,55+,Austin Metro,specialeducation@roundrockisd.org,"Round Rock ISD serves the rapidly growing Austin suburb and has experienced staffing challenges common to high-growth districts. The district has been noted for its dyslexia identification program, but parents of students with emotional/behavioral disabilities report difficulty accessing appropriate services.",ard-process-guide|evaluation-child-find|dyslexia-services|grievance-dispute-resolution
austin-isd,Austin ISD,"Travis County",Austin,73000+,130+,Austin Metro,specialeducation@austinisd.org,"Austin ISD operates in an environment of rapid demographic change and ongoing budget pressure. The district has faced TEA scrutiny for evaluation delays and has a documented backlog in diagnostician caseloads. Families in rapidly gentrifying areas report inconsistent service delivery.",ard-process-guide|evaluation-child-find|dyslexia-services|grievance-dispute-resolution
