category,why_it_fits,business_name,business_type,texas_metros,contact_approach,ad_pitch,estimated_monthly_budget,priority,outreach_status,contact_name,contact_email,notes,date_added
Special Education Attorneys & Advocates,High-intent audience actively seeking legal help with IEPs/ARDs,"The Wright Firm, PLLC",Small firm,Dallas-Fort Worth,Website contact form or LinkedIn outreach to attorneys,Reach Texas parents actively seeking legal representation for special education matters in the DFW area.,Medium,High,Not contacted,,,,2026-02-19
Special Education Attorneys & Advocates,High-intent audience actively seeking legal help with IEPs/ARDs,Woodsmall Law Group,Small firm,Houston,Website contact form or LinkedIn outreach to attorneys,Connect with Houston-area parents facing special education legal challenges and needing expert guidance.,Medium,High,Not contacted,,,,2026-02-19
Special Education Attorneys & Advocates,High-intent audience actively seeking legal help with IEPs/ARDs,Disability Rights Texas,Nonprofit,Statewide,Website contact form or LinkedIn outreach to leadership,Increase awareness of your free legal services and resources for Texas families navigating special education.,Low,Medium,Not contacted,,,,2026-02-19
Special Education Attorneys & Advocates,High-intent audience actively seeking legal help with IEPs/ARDs,Lone Star Legal Aid,Nonprofit,"Houston, Southeast Texas",Website contact form or LinkedIn outreach to leadership,Promote your free or low-cost legal services to eligible families in Southeast Texas needing special education assistance.,Low,Medium,Not contacted,,,,2026-02-19
Special Education Attorneys & Advocates,High-intent audience actively seeking legal help with IEPs/ARDs,Special Education Advocacy Firm of Texas,Small firm,"Austin, San Antonio",Website contact form or LinkedIn outreach to attorneys,Attract parents in the Austin and San Antonio areas who require experienced legal advocacy for their child's special education needs.,Medium,High,Not contacted,,,,2026-02-19
Special Education Attorneys & Advocates,High-intent audience actively seeking legal help with IEPs/ARDs,"The Law Office of Denise M. Wilkerson, PLLC",Solo practice,Dallas-Fort Worth,Website contact form or LinkedIn outreach to attorney,Reach parents in the DFW metroplex seeking personalized legal support for their child's special education journey.,Low,Medium,Not contacted,,,,2026-02-19
Special Education Attorneys & Advocates,High-intent audience actively seeking legal help with IEPs/ARDs,Special Education Advocates of Texas (SEAT),Regional chain,"Houston, Dallas-Fort Worth",Website contact form or LinkedIn outreach to leadership,Connect with Texas parents seeking experienced special education advocates to navigate IEPs and ARD meetings.,Medium,High,Not contacted,,,,2026-02-19
Special Education Attorneys & Advocates,High-intent audience actively seeking legal help with IEPs/ARDs,Independent Special Education Advocate serving San Antonio,Solo practice,San Antonio,"Search Google Maps for advocates near San Antonio, then website or LinkedIn outreach",Increase your visibility among San Antonio parents actively searching for a dedicated special education advocate.,Low,Medium,Not contacted,,,,2026-02-19
Tutoring & Learning Centers (Dyslexia / LD Focus),Parents on this site are actively looking for reading intervention options,The Reading Ranch,Regional chain,"Dallas-Fort Worth, Houston",Website contact form or LinkedIn outreach to franchise owners,Reach Texas parents actively seeking specialized reading intervention for their children with dyslexia and other learning differences.,Medium,High,Not contacted,,,,2026-02-19
Tutoring & Learning Centers (Dyslexia / LD Focus),Parents on this site are actively looking for reading intervention options,Lindamood-Bell Learning Processes,National franchise,"Austin, Dallas-Fort Worth, Houston, San Antonio",Website contact form or LinkedIn outreach to regional managers,"Connect with parents researching intensive, research-validated reading and learning programs for their children's specific needs.",High,High,Not contacted,,,,2026-02-19
Tutoring & Learning Centers (Dyslexia / LD Focus),Parents on this site are actively looking for reading intervention options,Neuhaus Education Center,Nonprofit,Houston,Website contact form or direct email to development/marketing team,Promote your evidence-based literacy training and resources to a highly targeted audience of Texas parents seeking support for their children's reading challenges.,Medium,High,Not contacted,,,,2026-02-19
Tutoring & Learning Centers (Dyslexia / LD Focus),Parents on this site are actively looking for reading intervention options,Dyslexia Therapy of Texas,Small firm,Austin,Website contact form or LinkedIn outreach to owner,Increase your visibility among Austin-area parents actively searching for dyslexia specialists and therapy services.,Medium,High,Not contacted,,,,2026-02-19
Tutoring & Learning Centers (Dyslexia / LD Focus),Parents on this site are actively looking for reading intervention options,Academic Approach,Regional chain,Dallas-Fort Worth,Website contact form or LinkedIn outreach to regional managers,"Showcase your comprehensive academic support services, including tutoring and test preparation, to Texas parents invested in their children's educational success.",Medium,Medium,Not contacted,,,,2026-02-19
Tutoring & Learning Centers (Dyslexia / LD Focus),Parents on this site are actively looking for reading intervention options,Huntington Learning Center,National franchise,Multiple Texas metros,Website contact form or LinkedIn outreach to franchise owners,Drive qualified leads to your local Huntington Learning Center by targeting parents actively seeking academic support for their children with learning challenges.,Medium,Medium,Not contacted,,,,2026-02-19
Tutoring & Learning Centers (Dyslexia / LD Focus),Parents on this site are actively looking for reading intervention options,Sylvan Learning,National franchise,Multiple Texas metros,Website contact form or LinkedIn outreach to franchise owners,Increase your brand awareness and attract new clients by advertising your Sylvan Learning Center to a highly engaged audience of Texas parents.,Medium,Medium,Not contacted,,,,2026-02-19
Tutoring & Learning Centers (Dyslexia / LD Focus),Parents on this site are actively looking for reading intervention options,Independent Orton-Gillingham Tutor,Solo practice,"Houston, Dallas-Fort Worth, Austin, San Antonio",Search Google Maps for 'Orton Gillingham Tutor [City Name]' and contact via website or phone.,Connect directly with Texas parents seeking specialized Orton-Gillingham tutoring for their children with dyslexia and reading difficulties.,Low,High,Not contacted,,,,2026-02-19
"Pediatric Therapy Clinics (OT, Speech, ABA)",Autism and behavior toolkit buyers are a direct match for therapy service ads,The Speech & Language Connection,Small firm,Houston,"Search Google for ""Speech therapy Houston children"", find their website, and email their contact form.",Reach highly engaged parents actively seeking speech therapy solutions for their children in the Houston area.,Medium,High,Not contacted,,,,2026-02-19
"Pediatric Therapy Clinics (OT, Speech, ABA)",Autism and behavior toolkit buyers are a direct match for therapy service ads,ABC Pediatric Therapy,Regional chain,Dallas-Fort Worth,"Search Google Maps for ""Pediatric Occupational Therapy DFW"", identify regional chains, and call their corporate office.",Increase brand awareness and drive new patient acquisition across your DFW locations by targeting parents researching special education resources.,High,High,Not contacted,,,,2026-02-19
